S.No,Name of CCA,Village,Country,Location,Ecosystem Type,Communities,Year of Formation,Data Source,References,,,,,,,,,,,,,,,
88,Herapintu,"Old Peren, Peren",India,25.501139|93.6905,Forest,"Tribe: Zeliang, Dialect: Zeliang",2011,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
89,Herapireu,"Dunki Village, Peren",India,25.638194|93.738778,Forest,"Tribe: Zeliang, Dialect: Zeliang",2008,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
90,Hoakho,"Zakkho, Mon",India,26.811651|95.089523,Forest,"Tribe: Konyak, Dialect: Konyak",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
91,Hosha,"Yongkhao, Mon",India,26.379361|95.044611,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
92,Imokong,"Khar, Mokokchung",India,26.472047|94.472047,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
93,Jakhama,"Jakhama, Kohima",India,25.595711|94.123408,Forest,"Tribe: Angami, Dialect: Tenyidie",2005,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
94,Jalukie Zangdi,"Julukie Zangdi, Peren",India,25.707111|93.559222,Forest,"Tribe: Chakhesang, Zeliang,Angami, Mao, Dialect: Chakhesang",2002,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
95,Jalukielo,"Jalukielo, Peren",India,25.6895|93.645361,Forest,"Tribe: Zeliang, Mao, Chakhesang, Angami,Paumai, Dialect: Nagamese",2005,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
96,Jang Zang,"Chephur, Tuensang",India,25.974861|94.994278,Forest,"Tribe: Khiamniungan, Dialect: Khiamniungan",2005,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
97,Jangdi,"Saijang, Peren",India,25.598556|93.646889,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
98,Jangling,"Totok Chingyu, Mon",India,26.666056|95.002611,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
99,Jangpetkong,"Changki, Mokokchung",India,26.415967|94.394267,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
100,Japu,"Japu, Mokokchung",India,26.506661|94.411911,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
101,Jesulaun,"Sutsu, Phek",India,25.699833|94.84125,Forest,"Tribe: Pochury, Dialect: Laruri",2008,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
102,Jingkhu,"Thangthur, Kiphire",India,25.881944|94.618056,Forest,"Tribe: Sangtam, Dialect: Sangtam , Anar",1980,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
103,Jingkhu,"New Monger, Kiphire",India,25.908889|94.627222,Forest,"Tribe: Yimchunger, Dialect: Yimchunger and Chirr",1997,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
104,Joa Leu,"Joa Leu, Tuensang",India,26.041667|94.993556,Forest,"Tribe: Khiamniungan, Dialect: Khiamniungan",2001,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
105,Jotsoma reserve Forest,"Jotsoma, Kohima",India,25.676111|94.058611,Forest,"Tribe: Angami, Dialect: Tenyidie",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
106,Julu,"Lekromi, Phek",India,25.547806|94.271389,Forest,"Tribe: Chakhesang, Dialect: Khezha",2001,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
107,Kaiviou,"Longwa, Mon",India,26.658611|95.214806,Forest,"Tribe: Konyak, Dialect: Konyak & Longwa",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
108,Kam,"Beisumuikam, Peren",India,25.699806|93.5405,Forest,"Tribe: Zeliangi, Dialect: Zeliang",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
109,Kamengshu,"Ukha, Mon",India,26.414194|94.93375,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
110,Kamening Puineu,"Old Nkio Village, Peren",India,25.394972|93.576111,Forest,"Tribe: Zeliang, Dialect: Zeme & Liangmai",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
111,Kamire,"Mesulumi, Phek",India,25.579556|94.342889,Forest,"Tribe: Chakhesang, Dialect: Khezha",2008,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
112,Kamlao,"New Sinjol, Peren",India,25.465722|93.53225,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
113,Kangnyu,"Yongshei, Tuensang",India,26.56925|94.796333,Forest,"Tribe: Phom, Dialect: Phom",1998,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
114,Katsuto,"Kiyeshe Sukhai, Zunheboto",India,25.882861|94.501833,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
115,Kedi-Uba of Tsiepama,"Tsiepama neise clan, Dimapur",India,25.778722|93.946444,Forest,"Tribe: Angami, Dialect: Tenyidie",2011,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
116,Kegung,"Lilen, Peren",India,25.641111|93.613361,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
117,Kelorimbou,"Lalong Village, Peren",India,25.295361|93.552167,Forest,"Tribe: Zeliang, Dialect: Zeme",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
118,Keyo,"Yingphire, Kiphire",India,25.893889|94.591389,Forest,"Tribe: Yimchunger, Dialect: Yimchunger, Chirr",1999,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
119,Kezuanning,"Nchangram village, Peren",India,25.401111|93.634167,Forest,"Tribe: Zeliang, Dialect: Liangmai",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
120,Khaboru,"Phek, Phek",India,25.664806|94.472778,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",1988,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
121,Khakahiko,"Athupumi, Mokokchung",India,26.47415|94.416306,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
122,Khaley,"Bongkholong, Peren",India,25.539778|93.532611,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
123,Khalimonkung Eran,"N.longidang, Wokha",India,26.28575|94.337278,Forest,"Tribe: Lotha, Dialect: Lotha",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
124,Khalutu,"Middle Khomi, Phek",India,25.654833|94.447222,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",2008,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
125,Khangkha,"Netnyu, Tuensang",India,26.571722|94.860528,Forest,"Tribe: Phom, Dialect: Phom",2004,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
126,Khochorong,"Kongjiri, Kiphire",India,25.7125|94.874444,Forest,"Tribe: Sangtam, Dialect: Sangtam",1999,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
127,Khokhithi Thekrejuma Biodiversity Conservation,"Thekrejuma, Dimapur",India,25.696344|93.940161,Forest,"Tribe: Angami, Dialect: Tenyidie",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
128,Khonosa / Pathara,"Sohomi, Phek",India,25.719028|94.491583,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",1998,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
129,Khrokhropfii,"Lephori, Phek",India,25.61225|94.624111,Forest,"Tribe: Pochury, Dialect: Pochury",1987,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
130,Khuiche,"Ngozubo, Zunheboto",India,26.071389|94.675556,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
131,Khulxe,"Lizuto, Zunheboto",India,26.088778|94.663139,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
132,Khuzama,"Khuzama, Kohima",India,25.532661|94.137964,Forest,"Tribe: Angami, Dialect: Tenyidie",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
133,Kibung,"Paijal, Peren",India,25.613222|93.608194,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
134,Kigwema Biodiversity Trust,"Kigwema, Kohima",India,25.605925|94.126611,Forest,"Tribe: Angami, Dialect: Tenyidie",1990,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
135,Kiiriiwusii,"Meluri, Phek",India,25.680306|94.623,Forest,"Tribe: Pochury, Dialect: Pochury",2001,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
136,Kiloto,"Kilo Old, Zunheboto",India,25.910611|94.450639,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
137,Kipeuram,"Kenduang, Peren",India,25.413972|93.716,Forest,"Tribe: Zeliang, Dialect: Zeme",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
138,Kipeuzaun,"New Puilwa, Peren",India,25.480222|93.792083,Forest,"Tribe: Zeliang, Dialect: Zeme",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
139,Kiwidzukraru,"Tuzatsu, Phek",India,25.710861|94.571167,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",2009,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
140,Kiyalu,"Mangmetong, Mokokchung",India,26.293428|94.399097,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
141,Kotohu,"Yemishe, Zunheboto",India,25.960833|94.515,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
142,Kotohu,"Khukishe, Zunheboto",India,25.923023|94.388855,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
143,Kura Yangi,Lakhuni,India,26.547528|94.444917,Forest,,,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
144,Kutsukurho,"Ruzazho, Phek",India,25.757861|94.319528,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
145,Lak Hamjak,"Nyasa, Mon",India,26.768583|95.179389,Forest,"Tribe: Konyak, Dialect: Konyak & Nyasa",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
146,Laka,"Kutsapo, Phek",India,25.728056|94.450361,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",2004,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
147,Lamel,"Mongchen, Mokokchung",India,26.505728|94.471431,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
148,Langkhae Sang-Shong Kimtsu,"Salumi, Kiphire",India,25.789333|94.933694,Forest,"Tribe: Yimchunger, Dialect: Yimchunger and Chirr",1980,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
149,Langkok,"Langkok, Kiphire",India,25.903333|94.758889,Forest,"Tribe: Sangtam, Dialect: Sangtam",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
150,Lavutsang,"New thewati, Phek",India,25.549694|94.769361,Forest,"Tribe: Pochury, Dialect: Sanphuri ( Pochury )",2010,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
151,Layed,"Yimpang, Tuensang",India,26.281472|94.984361,Forest,"Tribe: Chang, Dialect: Chang",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
152,Lemtok,"Nakshou, Tuensang",India,26.330194|94.8195,Forest,"Tribe: Chang, Dialect: Chang",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
153,Lendima Lu,"Longmisa, Mokokchung",India,26.353889|94.603889,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
154,Lennyu lemlo,"Longzang, Mon",India,26.719722|95.198389,Forest,"Tribe: Konyak, Dialect: Konyak & Longzang",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
155,Liangmen,"Nokpu, Mokokchung",India,26.603889|94.5,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
156,Linglam,"Longkei, Mon",India,26.751032|94.954109,Forest,"Tribe: Konyak, Dialect: Konyak",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
157,Liokumtak,"Hakchang, Tuensang",India,26.301944|94.885278,Forest,"Tribe: Chang, Dialect: Chang",1991,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
158,Lisemyong LU,Aosenden,India,26.512804|94.395928,Forest,,-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
159,Liyangjen,"Yimchenkimong, Mokokchung",India,26.583778|94.596417,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
160,Longhoi,"Longam, Mon",India,26.882031|94.953354,Forest,"Tribe: Konyak, Dialect: Konyak",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
161,Longjak Lu,"Akhoya, Mokokchung",India,26.517833|94.678861,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
162,Longkhi,"Inbung, Peren",India,25.556139|94.607944,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
163,Longkhoa,"Z.Tingsa, Mon",India,26.80485|95.158356,Forest,"Tribe: Konyak, Dialect: Konyak",2005,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
164,Longkong Lu,"Longkong, Mokokchung",India,26.374533|94.610597,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
165,Longmatra Reseve,"New Longmatra, Kiphire",India,25.779667|94.748833,Forest,"Tribe: Yimchunger, Dialect: Yimchunger and Chirr",1999,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
166,Longmimang,"Satsu, Mokokchung",India,26.354272|94.399342,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
167,Longmurong,"Keor, Kiphire",India,25.927|94.73,Forest,"Tribe: Sangtam, Dialect: Sangtam, Thonger",1985,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
168,Longnyah,"Lampong sheanghah, Mon",India,26.776222|95.070167,Forest,"Tribe: Konyak, Dialect: Konyak",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
169,Longnyuphao,"Chi, Mon",India,26.68997|94.992407,Forest,"Tribe: Konyak, Dialect: Konyak",2010,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
170,Longphayimsen,"Longphayimsen, Mokokchung",India,26.518496|94.380074,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
171,Longpong nga,"Sanglao, Tuensang",India,26.076056|94.017556,Forest,"Tribe: Khiamniungan, Dialect: Khiamniungan",1993,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
172,Longsa,"Nyahnyu, Mon",India,26.651167|95.174599,Forest,"Tribe: Konyak, Dialect: Konyak & Nyahnyu",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
173,Longshang,"Tangnyu, Mon",India,26.693222|95.151472,Forest,"Tribe: Konyak, Dialect: Konyak & Tangnyu",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
174,Longya,"Kisetong, Kiphire",India,25.957778|94.701944,Forest,"Tribe: Sangtam, Dialect: Sangtam",1989,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
